Publication Date	Time	Author	Source	Title	URL	Text
2021-11-10	22:53:01+00:00	Jason Pham	stylecaster	Jamie Lynn Almost Emancipated Herself After Her Dad Tried to ‘Force’ Her to ‘Abort’ Her Baby at 16	https://stylecaster.com/jamie-lynn-spears-jamie/	Since Britney Spears’ conservatorship started, fans have been curious about Jamie Lynn Spears and Jamie Spears‘ relationship. While they seem close now, that wasn’t always the case, according to Jamie Lynn’s upcoming memoir, Things I Should Have Said. In the book, which hits shelves on January 18, 2022, Jamie Lynn accused her father of trying to “force” her to “abort” her eldest daughter, Maddie Briann Aldridge, when she was pregnant with her at 16 years old. Jamie Lynn shares Maddie, now 13, with her ex-boyfriend, Casey Aldridge. In one chapter, Jamie Lynn recalled the moment her management learned about her pregnancy, which came amid her older sister Britney Spears’ “PR difficulties.” “Once Momma and Daddy told my team, things spiraled out of control pretty quickly. When I walked in, Daddy, Bryan, and Momma were in the house and [a member of] my financial management team was on the phone,” she wrote, according to an excerpt from People. “There was a whole lot of fighting going on between everyone involved. The entire Spears team was already caught up in my sister’s PR difficulties, and everyone around me just wanted to make this ‘issue’ disappear. My family and management pulled me out of school until they could figure out what to do next. They took my smartphone away, fearing the news would get out, and insisted that no one share any information with anyone, especially the press. My daddy and I stopped speaking and the tension was terrible.” Image: Worthy Books. Jamie Lynn went on to reveal that her team, including her family, encouraged her to take “pills” to abort her baby for the sake of her “career.” “One person after another—and there were many—came to my room trying to convince me that having a baby at this point in my life was a terrible idea. There was lots of chatter, but none of it felt right to me,” she wrote. “It will kill your career. You are just too young. You don’t know what you’re doing. There are pills you can take. We can help you take care of this problem. Think about what you’re doing to your family. Doesn’t the family have enough to deal with? I know a doctor. There are procedures that remedy mistakes like this. You don’t have to do this.” She also recalled the moment that she realized that she wanted to keep her baby, despite her team’s advice. “Jamie Lynn, don’t make a mistake you’ll regret for the rest of your life. I’ll never forget that last plea—of making a mistake I would regret—because it reinforced my decision to have my baby,” she wrote. Jamie Lynn also accused her father of trying to send her to a “home for unwed mothers,” where she would “eventually give up” her baby for adoption. “I will never forget when [a member of my team] stood up for me and said, ‘Y’all can’t force her to abort the baby.’ She was the first and only person on my team to show any support for my desire to keep my baby,” Jamie Lynn wrote. “The next option was for me to go to Mercy Ministries, a home for unwed mothers in Tennessee, where I could eventually give up my baby for adoption. Daddy and I fought, slinging words and tossing insults. He grabbed me by the shoulders and held on tightly in the hopes of bending me to his will. I got in his face and yelled, ‘NO! I won’t go.'” Jamie Lynn also revealed that she wasn’t allowed to tell Britney about the pregnancy because it was “too risky” for her sister to know. “My team believed everyone outside of the inner circle was a potential threat. They went so far as hiding my pregnancy from my sister, claiming, ‘It’s too risky to tell Britney about the baby,'” she wrote. “I needed her more than ever and she wasn’t able help me in my most vulnerable time. Britney’s condition was spiraling into something more concerning. They were concerned her instability at that time made her untrustworthy. I went along with what my team told me to do because I was a minor and didn’t want to create any more issues. Britney learned of the pregnancy when the article was released. To this day, the hurt of not being able to tell my sister myself lingers.” Jamie Lynn confessed that the pressure from her parents to “abort” her baby was so intense that she almost emancipated herself at 16 years old. “Britney was in the midst of her own crisis, and because we were isolated from each other, our communication was nonexistent,” she wrote. “My family denied my attempts to be independent and left me with no other choice than to threaten to file for emancipation with the courts. I spent days agonizing with my pending decision. But I followed my gut and instructed my new lawyer to go ahead and draw up the petition.” She continued, “The following Saturday morning, my lawyer and I showed up and served my momma with papers. Daddy was gone at that point, and Momma contacted the team to discuss the issues. They had real concerns about me marrying my boyfriend and giving him access to all of my earnings. Simultaneously, my sister was experiencing her own breakdown, and media speculation about her wellness and our family already had the paparazzi swarming. Everyone involved with my saga reluctantly agreed that we needed to do what was best to avoid any more negative media attention.” Things I Should Said by Jamie Lynn Spears hits shelves on January 18, 2022. Pre-order it on Amazon. Image: Courtesy of Delacorte Books. For more about Britney Spears, read her 2001 book, A Mother’s Gift. The semi-autobiographical fiction novel, which was co-written with Britney’s mother Lynne Spears, follows Holly Faye Lovell, a 14-year-old girl from the small town of Biscay, Mississippi, who has dreams of becoming a singer. When Holly becomes the youngest student ever to win a scholarship to the prestigious Haverty School of Music, she must make a choice of whether to leave her mother, Wanda, behind or pursue her dreams. As Holly starts her new life and makes posh new friends, she finds herself embarrassed by her mom and their humble background, as Wanda struggles with a long-hidden secret that could destroy her bond with her daughter forever. Our mission at STYLECASTER is to bring style to the people, and we only feature products we think you’ll love as much as we do. Please note that if you purchase something by clicking on a link within this story, we may receive a small commission of the sale.
2021-11-10	17:52:00+00:00	Unknown	Times of Malta	Malta Women's Lobby seeks wider debate on abortion	https://timesofmalta.com/articles/view/malta-womens-lobby-seeks-wider-debate-on-abortion.914127	"The Malta Women's Lobby on Wednesday urged political leaders to adopt a more sensitive approach on the issue of abortion. In a statement, the lobby, whose members had diverse opinions on the issue, asked the leaders to ""steer away from the polarised binary positions” saying these benefit no one. Instead, political parties should allow civil society to debate this important subject while respecting all opinions, rather than taking one side or the other. PN leader Bernard Grech said in a radio interview that no one in favour of abortion will be allowed to form part of, or represent the Nationalist Party. His comments came days after PN election candidate Emma Portelli Bonnici called for an end to the “systematic abuse of women who dare to speak about controversial views” after she was inundated by a barrage of hate speech over a comment about abortion comment that she never made. In September, Prime Minister Robert Abela had said that the debate on whether Malta should make abortion legal should continue but the ""rights of the unborn"" should be voiced. “No party has the right to stifle any discussion on any subject in a civilised country and we expect better from political leaders,” the lobby said. It added that If political leaders want fewer women to have an abortion they should offer them more support, introduce free contraception and make the morning after pill more freely available. They should also adopt a comprehensive sex education policy and strategy that addresses these issues without further delays, it insisted. Independent journalism costs money. Support Times of Malta for the price of a coffee."
2021-11-10	14:02:22+00:00	Unknown	Post	Cecily Strong Thanks “All of ‘SNL’” For Supporting Clown Abortion Sketch	https://decider.com/2021/11/10/cecily-strong-thanks-snl-clown-abortion-sketch/	On Monday (Nov. 9), Saturday Night Live star Cecily Strong took to Instagram to thank the show’s cast and crew for helping her to share her personal abortion story on last weekend’s episode. During the show’s “Weekend Update” segment, Strong joined anchors Colin Jost and Michael Che dressed as the character Goober the Clown. “I had an abortion the day before my 23rd birthday … but it’s a rough subject, so we’re going to do fun clown stuff to make it more palpable,” she said, before detailing her own abortion, as well as her connections with people who have also had abortions. Goober the Clown (who had an abortion when she was 23) pic.twitter.com/1rFv6UrPGu — Saturday Night Live – SNL (@nbcsnl) November 7, 2021 “I wish I didn’t have to do this because the abortion I had at 23 is my personal clown business, but that’s all some people want to discuss all the time,” Strong continued. “I know I wouldn’t be a clown on TV here today if it weren’t for the abortion I had the day before my 23rd birthday. [Abortions are] gonna happen, so it ought to be safe, legal, and accessible.” The actress recently took to her Instagram Stories to confirm that she was drawing from personal experience in the sketch. “I didn’t tell my own wonderful and supportive mom for years and on Saturday I told live TV,” she wrote. Strong went on to say that she works with “the best people on earth,” thanking her fellow writers, and “@doylebird [for] being the first person I could text on Monday asking ‘is this an insane idea or…’ Because she’s not only a great friend she’s an amazing producer.” She added: “And thank you to Jost and Che (and all of SNL) for being on board immediately and giving this clown a seat at you table.” Saturday Night Live airs Saturdays at 11:30 p.m. ET on NBC.
2021-11-10	10:54:08+00:00	Letters to the Editor |	orovillemr	Letter: Do we really have a right to privacy?	https://www.orovillemr.com/2021/11/10/letter-do-we-really-have-a-right-to-privacy/	Presently there is much discussion on social media about the new abortion law in Texas. One theme is that in Roe vs. Wade the Supreme Court held there was a right to privacy inherent in the 14th Amendment, therefore the states were limited, under the Constitution, as to which restrictions they could place on abortions. But… if there really is a right to privacy then how are Facebook, Google, and others allowed to use cookies to gather all kinds of private information about our comments on social media? — EJ Donmoyer, Paradise
2021-11-10	07:11:43+00:00	Unknown	Malta Today	‘You can’t be in favour of abortion and be part of the PN’, Grech says in strongest missive yet	https://www.maltatoday.com.mt/news/national/113194/you_cant_be_in_favour_of_abortion_and_be_part_of_the_pn_grech_says_in_strongest_missive_yet	PN leader Bernard Grech’s radio interview seals abortion debate conclusively inside PN: ‘As long as I am PN leader… nobody will be in favour of abortion and be in this party or as a representative of the party.’ Opposition leader Bernard Grech issued his clearest declaration yet against party representatives in favour of abortion, in a six-minute tirade on PN radio station Net FM. The Nationalist leader committed himself to a categorical anti-abortion stance by saying that he would not tolerate anyone representing the party to be in favour of abortion. “We can’t let Labour use delicate issues like these whenever it is overshadowed by its own wrongdoings,” Grech told journalist Dione Borg. “The abortion issue is a closed matter. This party was, is, will always be against abortion. It is a clear declaration I have made, that my predecessors have made, and it is our official position as laid down in the statute. Nobody, and I repeat nobody, as long as I am PN leader… will permit anyone to be in favour of abortion and stay in this party or as a representative of the party.” Grech’s strong comments reflect his long-held position on the issue, despite the presence of more vocal pro-choice members inside the PN. Yet Grech accused Labour of weaponising this difference in opinion against the PN, doubling down on his uncompromising stance. “If we want to be truly Nationalists and Christian-democrats, we’re obliged to say we’re against abortion, and act to let no mother of father, Maltese or not, commit such an act,” Grech said. “I hope there’s no Nationalist, no activist who’d call themselves Christian and Nationalist, who keeps believing Labour’s lies. Do not fall into this trap. As long as I’m here, this party will be pro-life.” He received an accolade on social media from senior cleric Mgr Anton Gouder, who posed the question to both political parties on Facebook and then feature their replies on his Facebook profile. Grech has already proposed that contraception and the morning-after-pill should be available free of charge to everyone over the age of 16 so as to reduce the demand for abortion. Grech’s categorical statements also open up questions about self-declared pro choice candidates like Emma Portelli Bonnici, who are at the forefront of party policy. A former Nationalist Party candidate, Hermann Farrugia, recently threatened to file an official complaint to the PN’s disciplinary committee against women in official posts at the party for espousing pro-choice views on sexual health and reproductive rights. In his radio interview, Grech also equated the challenge of climate crisis and the public demands for environmental preservation with the choice to terminate a pregnancy. “Are we going to talk about climate change, or the preservation of the environment for our future generations, but not be in favour of future generations themselves? We preserve a turtle’s eggs because we believe in that life, but not that of a newly-conceived baby? To us that is a human life that is important: the PN is against abortion, without any doubt.” Grech also called on politicians to be actively against abortion and assist couples undergoing challenges and considering a termination. “It is our obligation to protect life, and not say only that we’re against, but do our utmost to succour and support that mother or father considering a termination… it is no solution.”
2021-11-09	19:46:06+00:00	Dan McLaughlin	nationalreview	Analogies of the Texas Abortion Law to the Fugitive Slave Acts Have It Backwards	https://www.nationalreview.com/2021/11/analogies-of-the-texas-abortion-law-to-the-fugitive-slave-acts-have-it-backwards/	 NRPLUS MEMBER ARTICLE O ne of the favorite rhetorical moves of progressives these days is to look at whatever the policy agenda or campaign of the day is and shoehorn it into a narrative in which their opponents are the heirs of slavery and Jim Crow. Now, I’m not against learning lessons from historical analogies or considering the intellectual roots of ideas, but this is frequently taken to absurd extremes, with standards applied so inconsistently that history is cited to support the exact opposite of what it actually teaches. One current example is the bizarre use of racial history in the infrastructure debate. In September, … Get our conservative analysis delivered right to you. No charge.
2021-11-09	17:33:34+00:00	John McCormack	nationalreview	Dems Dropped $4M in Abortion-Themed TV Ads against Youngkin	https://www.nationalreview.com/2021/11/dems-dropped-4m-in-abortion-themed-tv-ads-against-youngkin/	 NRPLUS MEMBER ARTICLE I n his losing gubernatorial campaign, Democratic candidate Terry McAuliffe ran hard on the issue of abortion, hammering Republican candidate Glenn Youngkin in speeches, debates, and TV ads. “Abortion, schools take center stage in Virginia governor’s election ad wars,” CNBC reported on October 22. “Three of McAuliffe’s most expensive ads,” CNBC reported, “have attacked Youngkin for his abortion stance.” It’s been clear since September 1, when the Texas Heartbeat Act took effect, that McAuliffe put abortion front and center in his campaign, but we hadn’t seen a comprehensive accounting of just how much money was spent against Youngkin on the issue of abortion. Get our conservative analysis delivered right to you. No charge.
2021-11-09	12:00:00+00:00	Unknown	catholicreview	The miracle we share at every Mass	https://catholicreview.org/the-miracle-we-share-at-every-mass/	 November 9, 2021By Greg Erlandson Filed Under: Commentary, Guest Commentary, Year of the Eucharist At their fall meeting, the bishops will have a chance to review, amend and vote on a draft statement titled “The Mystery of the Eucharist in the Life of the Church.” Much of the media coverage this year has focused on whether it will call out Catholic politicians who support abortion rights. According to the draft sent to the bishops in September and subsequently leaked to The Pillar, it does not. While this headline-grabbing, click-baiting controversy will again attract press coverage in November, it would be a shame if Catholics miss the real content of the document, a reflection on the church’s teachings on the Eucharist over the centuries. It contains many moving quotes and passages that all of us could benefit from contemplating every time we go to Mass. Here’s a sampling: Dorothy Day, while known best as a peace activist, had a profound devotion to the Eucharist. Her reflection is timely, as many Catholics may be slow to return to Mass after the pandemic closures. “Once, when told by someone she no longer saw the point of going to daily Mass, the servant of God Dorothy Day reflected: ‘We go eat of this fruit of the tree of life because Jesus told us to. … He took upon himself our humanity that we might share in his divinity. We are nourished by his flesh that we may grow to be other Christs. I believe this literally, just as I believe the child is nourished by the milk from his mother’s breast.'” Dorothy Day was a 20th-century Catholic. St. John Chrysostom was born only 300 years after Christ, yet he shared Day’s sense of the Eucharist as life giving: When you see the body of Christ, he preached, “set before you (on the altar), say to yourself: Because of this body I am no longer earth and ashes, no longer a prisoner, but free: because of this I hope for heaven, and to receive the good things therein, immortal life, the portion of angels, (and closeness) with Christ.” The document quotes St. Teresa of Kolkata: “When you look at the crucifix, you understand how much Jesus loved you then. When you look at the sacred host, you understand how much Jesus loves you now.” The draft document notes that “the word ‘Eucharist’ literally means ‘thanksgiving.’ Even our manner of giving thanks comes from God, for we do so by following the command of the Lord: Do this in memory of me.” It also says that it “is called Holy Communion precisely because, by placing us in intimate communion with the sacrifice of Christ, we are placed in intimate communion with him and through him, with each other.” St. Justin Martyr was born around the year 100, just a few decades after Christ walked the earth. Yet he was a witness to the early eucharistic faith of the church: “It is not ‘ordinary bread and ordinary drink’ that we receive in the Eucharist, but the flesh and blood of Christ, who came to nourish and transform us, to restore our relationship to God and to one another.” This communion turns us outward, recognizing our neighbor in the poor and the vulnerable. The Catechism of the Catholic Church teaches that “to receive in truth the body and blood of Christ given up for us, we must recognize Christ in the poorest, his brethren.” The last word goes to Pope Benedict XVI: The “love that we celebrate in the sacrament is not something we can keep to ourselves. By its very nature, it demands to be shared by all.” Amen.
2021-11-09	11:04:13+00:00	Unknown	nationalpost	U.S. abortion curbs: Fearing business impact, companies speak out	https://nationalpost.com/pmn/news-pmn/crime-pmn/u-s-abortion-curbs-fearing-business-impact-companies-speak-out	Nov 9 (Thomson Reuters Foundation) – U.S. firms look set to face increasing scrutiny over their stance on abortion rights and whether employee healthcare plans are in step with social responsibility statements as abortion curbs are challenged in court, researchers and executives say. A near-total ban on abortion in Texas and new restrictions on the procedure in other Republican-led states have prompted dozens of firms to wade into the highly charged debate – many speaking out publicly for the first time. As economists warn about the long-term impact of restricting abortion on employees and the bottom line, even more firms are likely to take a stand, said Shelley Alpern, head of corporate engagement at Rhia Ventures, a U.S.-based social enterprise. “Once it really sinks in that abortion restrictions hurt their workforce and talent pool, and that silence doesn’t put them in a good light, they will speak up more, if not publicly then in private conversations with lawmakers,” Alpern said. More than 80 companies with a combined revenue of more than $20 billion signed a statement in September denouncing Texas’s abortion law, which bans the procedure from about six weeks of pregnancy, including in rape and incest cases. The statement, organized by a coalition called “Don’t Ban Equality in Texas,” said “policies that restrict reproductive health care go against our values and are bad for business.” “The future of gender equality hangs in the balance, putting our families, communities, businesses and the economy at risk,” said the statement, signed by companies including Netflix, outdoor apparel brand Patagonia and ride hailing company Lyft. Such initiatives highlight a gradual shift in corporate thinking on abortion in public, which polls show most Americans believe should be legal in all or most cases. Once seen only as a religious, women’s rights and health issue, abortion is becoming a badge for a company’s commitment to social responsibility, gender equality and workplace diversity. “Abortion rights will become another issue where companies will have to choose a side,” said Sarah Jackel, chief operating officer at Civitech, a tech and political data start-up that was among the signatories of the declaration against the Texas law. “The key factor to creating a successful business is hiring, training, resourcing, and retaining talented people. Texas’ abortion law endangers that process,” she said in emailed comments, noting businesses are struggling to fill vacancies as the U.S. economy recovers from the COVID-19 pandemic. “The last thing businesses need are state laws that infringe on women’s rights and put employees in the position of having to quit their jobs or carry out an unwanted pregnancy,” said Jackel. Pressure for companies to take a stand on abortion is growing as the U.S. Supreme Court, which has a 6-3 conservative majority, prepares to hear challenges to abortion restrictions, including one scheduled for Dec. 1 over a Mississippi law. Christopher Miller, head of global activism strategy at Ben & Jerry’s, said the ice cream company believes “it’s important to speak up and speak out on these issues.” “We see reproductive healthcare as a workplace issue,” Miller told the Thomson Reuters Foundation. “If you’re operating in a state like Texas, it puts you at a competitive disadvantage. It makes it difficult to deliver on pay equity and recruiting and retaining talented leaders when there is a blatant attack against women,” he said. Two-thirds of college-educated adults said the Texas ban would discourage them from working in the state, according to an online poll conducted in August by PerryUndem, a nonpartisan Washington-based research firm. Abortion rights also influence decisions made by men, the survey found, with about half of male respondents saying they would not apply for a job in a state that passed a Texas-style abortion law. Some companies that have quietly been backing initiatives supporting women’s access to reproductive healthcare, including abortion, are now being more open and vocal about it. “We’ve supported movements, organizations and initiatives focused on reproductive health – but we were not always explicit that this work included abortion,” said Carleen Pickard, ethical campaigns specialist at Lush, a cosmetics retailer. “No longer. Access to abortion is essential,” she added. Rachel J. Robasciotti, founder and chief executive of Adasina Social Capital, an investment and financial activism firm, said “abortion is an issue that businesses in the U.S. can no longer afford to ignore.” Publicly rejecting the Texas law is an obvious part of broader company efforts to foster gender equality, said Miriam Warren, chief diversity officer at crowdsourced business review website Yelp. “Gender equality cannot be truly achieved if women’s healthcare rights are restricted,” she said. A June study by the Washington-based Institute for Women’s Policy Research (IWPR) estimated state-level abortion restrictions cost the U.S. economy $105 billion a year. It found the curbs hit women’s participation in the workforce and their earnings, increasing turnover and time off from work among women. “Those lost earnings also translate to economic impacts for states themselves,” said Nicole Mason, head of IWPR. Research by the IWPR’s Center on the Economics of Reproductive Health included a range of abortion restrictions, including near-total bans like Texas’s, mandated counseling and waiting periods, and required parental consent for children. Without such abortion limitations, U.S. gross domestic product (GDP) would be nearly half a percentage point greater and an additional 505,000 women aged 15 to 44 would enter the workforce earning about $3 billion annually, the research found. But though women make up roughly half of the U.S. workforce, many firms do not know what kind of reproductive healthcare – including abortion – they offer as part of insurance plans, found a 2020 report by Rhia Ventures. Nearly one in four women in the United States will have an abortion in their lifetime. “A lot of companies just don’t check (because it is) not thought of as something that is valued and that people would value,” said Camila Novo-Viano, one of the authors of the report, which was based on interviews with human resource and benefits managers at 39 companies. “It was just not something that was on the top of their minds, and it comes from this belief that abortion is not a key part of reproductive health and is not something many women need,” said Novo-Viano, a senior consultant with the FSG consulting firm. With abortion rights being put to the test over the coming months, more companies are likely to weigh in. “We are organized and pushing back because we realize the impact that S.B. 8 (Texas law) and any copycat bills will have on safety for all employees, as well as on doing business in general,” said Pickard at Lush. (Reporting by Anastasia Moloney; Editing by Helen Popper; Please credit the Thomson Reuters Foundation, the charitable arm of Thomson Reuters, that covers the lives of people around the world who struggle to live freely or fairly. Visit http://news.trust.org) We tried it ... Toronto-headquartered jewelry company to open Kitsilano store on Dec. 9. German-headquartered fashion brand remixes iconic logo for milestone year. Sign up to receive the daily top stories from the National Post, a division of Postmedia Network Inc. A welcome email is on its way. If you don't see it, please check your junk folder. The next issue of NP Posted will soon be in your inbox. We encountered an issue signing you up. Please try again Postmedia is committed to maintaining a lively but civil forum for discussion and encourage all readers to share their views on our articles. Comments may take up to an hour for moderation before appearing on the site. We ask you to keep your comments relevant and respectful. We have enabled email notifications—you will now receive an email if you receive a reply to your comment, there is an update to a comment thread you follow or if a user you follow comments. Visit our Community Guidelines for more information and details on how to adjust your email settings. 
2021-11-09	02:38:26+00:00	Matt Prigge	hitfix	People Think Cecily Strong Should Win An Emmy After Her Brilliant ‘Goober The Clown’ Abortion ‘SNL’ Sketch	https://uproxx.com/tv/cecily-strong-goober-the-clown-abortion-emmy-twitter-reactions/	Cecily Strong has long been one of the MVPs of SNL, and not just because she does a mean Judge Jeanine. She’s capable of multitudes. Just witness her appearance on Weekend Update on this past weekend’s Kieran Culkin-hosted SNL. She took one of the touchiest subjects in the nation right now — a woman’s right to have a safe and legal abortion, currently under assault in Texas, with other states soon to possibly follow — and turned it into something that was hilarious and sobering at the same time. Strong’s idea was simple and strange: She appeared as a clown named Goober. That someone caked in white greasepaint, a big red nose, a spinning bowtie, and an army of balloons (plus a non-functioning horn) was there to address the draconian abortion laws enacted in Texas in September may have seemed incongruous at first. How does one mine laughs out of the idea that women are forced to carry a pregnancy all the way to childbirth if it’s not detected in the six weeks, before most women even know they’re pregnant? But Strong found a way to at least soften the blow: She pretended she was talking about clowns, not women. She told the crowd she “really” doesn’t want to talk about “freaking abortion,” partly “because the abortion I had at 23 is my personal clown business.” But she had to because “people keep bringing it up.” So, she said, “we’re gonna do fun clown stuff to make it more palatable. The jokes, such as they were, went like this. “Did you know one in three clowns will have a clown abortion in her lifetime?” Strong’s Goober asked. “You don’t, because they don’t tell you. They don’t even know how to talk to other clowns about it, because when they do talk about it, if you were a clown who wasn’t the victim of something sad like clown-cest, they think your clown abortion wasn’t a ‘righteous clown abortion.’” Throughout Goober essentially copied-and-pasted “clown” for “woman,” telling stories about what she’s been through since her abortion at a young age. “Years later, you’ll be at a dinner with a big group of clowns and one clown will go out on a limb and say she’s had an abortion,” Goober said. “And then like eight other clowns at the table say they’ve had an abortion too, because that’s how common it is!” Perhaps it wasn’t immediately apparent what Strong was doing, namely that she was using one of the most scrutinized programs on national television to speak, in a semi-direct and humorous yet blunt manner, about what it’s like for women who’ve had abortions. It shows, in the form of a wacky Weekend Update monologue, how woman are forced to hide what they’ve gone through, have trouble speaking to others about their ordeals, all while having to fight to make sure it remains safe and legal. “We will not go back to the alley,” she concluded. “I mean, the last thing anyone wants is a bunch of dead clowns in a dark alley.” But what Strong did with “Goober the Clown” did not go unnoticed. As the sketch made its way through social media, many took the time to praise Strong for doing something personal and brave. It takes real lips to do something so personal and true in comedy I love you Cecily Strong https://t.co/Gi89QAgd9J — Sarah Silverman (@SarahKSilverman) November 8, 2021 This is brilliant, from Cecily Strong. #ClownAbortion https://t.co/OqLqdSq8pn — Rachel Parris (@rachelparris) November 8, 2021 I only figured out the brutal honesty underlying this sketch on second viewing, and still believe Cecily Strong deserves an Emmy. https://t.co/VpHOYtYJ09 — White Guy Confidence (Sustainably) (@karenkho) November 8, 2021 WOW.I think Cecily Strong just made one of the most bravely personal admissions and appeals ever, couched as a clown gag on @nbcsnl SNL's Weekend Update. Holy shit. And bravo, woman. — Joe Niedbala (@Scortch1) November 7, 2021 Cecily Strong's manic clown abortion Weekend Update is an amazing bit of commentary on the need to dress up & distance ourselves from any & all abortion discourse, while still essentially allowing Cecily to deliver a personal, straight-down-the-middle monologue on abortion. #SNL — Delia Harrington (@DeliaMary) November 7, 2021 Holy shit. Abortion clown almost made me cry, while I was laughing? Cecily Strong is incredible and that segment was powerful #SNL — Displaced _Southerner_2.0 (@AliChiSports) November 7, 2021 one of the best bits SNL has done in years and incredibly brave of cecily strong, but also i think it's worth recognizing what a fucking stroke of comedic genius it was to do this as a clown and effectively neutralize a huge swath of potential attacks before they even started https://t.co/Xt2REnr0pV — Unidentified Aerial Rabbit (@apancakerabbit) November 7, 2021 Who would have thought that SNL would come out with Goober the Clown as one of the most salient commentaries of the year. Cecily Strong is an icon with a fitting last name. #SNL — Bret with 1 t (@Bret_with1t) November 7, 2021 Give Cecily Strong an Emmy and, if she wants it, a hug for this clown abortion sketch 👏👏👏 #SNL — Skylar Baker-Jordan (@SkylarJordan) November 7, 2021 People criticizing this skit thinking it was supposed to make them laugh instead of think are the problem honka honka. Cecily Strong pushing all the buttons and conversations we need rn to push this insidious anti choice “movement” back into the past where it belongs. https://t.co/tZRVH2tBvi — Caitlin Rose (@TheCaitlinRose) November 8, 2021 i mean cecily strong really just fucking went for it tonight. we are all in the presence of greatness. #snl pic.twitter.com/fUPlrurqVn — prank sinatra (@KyloCool630) November 7, 2021 Some noticed that she broke character a couple times. At one point, Jost appeared to break character by saying, “You don’t have to do this, Cecily.” To which Strong replied, without missing a beat, “Who’s Cecily? I’m Goober.”https://t.co/uEWzxPZNCo — christi carras (@christicarras) November 8, 2021 Others noticed that Strong did something else: praise everyone she works with, who help bold sketches like “Goober the Clown” see the light. cecily strong ur gonna make me cry stop it pic.twitter.com/5KjjGKbBKR — artina ?! (@larrieskiwi) November 8, 2021 You can watch Strong’s “Goober the Clown” sketch in the video above.
